,id,retweet_count,favorite_count,followers_count
1452,693486665285931008,594,1682,9008770
1453,693280720173801472,1171,3186,9008770
1454,693267061318012928,763,2263,9008770
1455,693262851218264065,467,2095,9008770
1456,693231807727280129,697,2743,9008770
1457,693155686491000832,3013,7501,9008770
1458,693109034023534592,572,1624,9008770
1459,693095443459342336,428,1769,9008770
1460,692919143163629568,716,2553,9008770
1461,692905862751522816,821,2307,9008770
1462,692901601640583168,564,1668,9008770
1463,692894228850999298,742,2148,9008770
1464,692828166163931137,834,2736,9008770
1465,692752401762250755,3424,6477,9008770
1466,692568918515392513,1454,4143,9008770
1467,692535307825213440,1280,3001,9008770
1468,692530551048294401,386,1756,9008770
1469,692423280028966913,208,1399,9008770
1470,692417313023332352,3248,8892,9008770
1471,692187005137076224,771,2408,9008770
1472,692158366030913536,748,2036,9008770
1473,692142790915014657,366,1560,9008770
1474,692041934689402880,1183,3229,9008770
1475,692017291282812928,897,2748,9008770
1476,691820333922455552,1548,3772,9008770
1477,691793053716221953,3974,7724,9008770
1478,691756958957883396,927,2687,9008770
1479,691675652215414786,475,1854,9008770
1480,691483041324204033,526,2275,9008770
1481,691459709405118465,1068,3842,9008770
1482,691444869282295808,791,2503,9008770
1483,691416866452082688,7178,18378,9008770
1484,691321916024623104,622,2459,9008770
1485,691096613310316544,832,2842,9008770
1486,691090071332753408,317,1644,9008770
1487,690989312272396288,2704,5619,9008770
1488,690959652130045952,1153,3400,9008770
1489,690938899477221376,1821,3884,9008770
1490,690932576555528194,949,3116,9008770
1491,690735892932222976,1196,3602,9008770
1492,690728923253055490,486,2062,9008770
1493,690690673629138944,775,2221,9008770
1494,690649993829576704,256,1238,9008770
1495,690607260360429569,15,287,9008770
1496,690597161306841088,571,1849,9008770
1497,690400367696297985,425,1798,9008770
1498,690374419777196032,796,3085,9008770
1499,690360449368465409,829,2523,9008770
1500,690348396616552449,482,1422,9008770
1501,690248561355657216,392,1600,9008770
1502,690021994562220032,964,2662,9008770
1503,690015576308211712,686,2368,9008770
1504,690005060500217858,1593,3493,9008770
1505,689999384604450816,343,1350,9008770
1506,689993469801164801,422,1386,9008770
1507,689977555533848577,423,1304,9008770
1508,689905486972461056,651,2335,9008770
1509,689877686181715968,1096,2884,9008770
1510,689835978131935233,708,2068,9008770
1511,689661964914655233,883,3087,9008770
1512,689659372465688576,3620,9836,9008770
1513,689623661272240129,601,2106,9008770
1514,689599056876867584,5191,11084,9008770
1515,689557536375177216,426,1957,9008770
1516,689517482558820352,1343,3232,9008770
1517,689289219123089408,876,2140,9008770
1518,689283819090870273,1036,3102,9008770
1519,689280876073582592,663,1880,9008770
